Size,Trees,Total,Small,Middle,Big,Mean,Percent
1,2008,0,0,0,0,0.00000000000000000000,0.00000000000000000000
2,1593,45,0,0,1,0.02824858757062146893,0.00000000000000000000
3,1230,74,0,0,2,0.06016260162601626016,0.00000000000000000000
4,1016,134,0,0,2,0.13188976377952755906,0.00000000000000000000
5,877,130,0,0,3,0.14823261117445838084,0.00000000000000000000
6,683,141,0,0,3,0.20644216691068814056,0.00000000000000000000
7,624,178,0,0,3,0.28525641025641025641,0.00000000000000000000
8,534,167,0,0,5,0.31273408239700374532,0.00000000000000000000
9,421,167,0,0,4,0.39667458432304038005,0.00000000000000000000
10,403,187,0,0,5,0.46401985111662531017,0.00000000000000000000
11,357,152,0,0,5,0.42577030812324929972,0.00000000000000000000
12,297,129,0,0,5,0.43434343434343434343,0.00000000000000000000
13,259,155,0,0,5,0.59845559845559845560,0.00000000000000000000
14,239,146,0,0,6,0.61087866108786610879,0.00000000000000000000
15,206,152,0,0,9,0.73786407766990291262,0.00000000000000000000
16,212,168,0,0,8,0.79245283018867924528,0.00000000000000000000
17,181,140,0,0,7,0.77348066298342541436,0.00000000000000000000
18,166,147,0,0,9,0.88554216867469879518,0.00000000000000000000
19,156,158,0,0,8,1.0128205128205128,0.00000000000000000000
20,134,153,0,0,9,1.1417910447761194,0.00000000000000000000
21,126,109,0,0,6,0.86507936507936507937,0.00000000000000000000
22,100,86,0,0,8,0.86000000000000000000,0.00000000000000000000
23,108,147,0,1,8,1.3611111111111111,4.3478260869565217
24,96,96,0,0,6,1.00000000000000000000,0.00000000000000000000
25,108,109,0,0,10,1.0092592592592593,0.00000000000000000000
26,82,124,0,1,15,1.5121951219512195,3.8461538461538462
27,89,121,0,0,10,1.3595505617977528,0.00000000000000000000
28,87,130,0,1,9,1.4942528735632184,3.5714285714285714
29,65,82,0,0,8,1.2615384615384615,0.00000000000000000000
30,69,94,0,1,10,1.3623188405797101,3.3333333333333333
31,69,102,0,1,7,1.4782608695652174,3.2258064516129032
32,72,92,0,1,6,1.2777777777777778,3.1250000000000000
33,55,93,0,0,12,1.6909090909090909,0.00000000000000000000
34,59,100,0,1,11,1.6949152542372881,2.9411764705882353
35,69,118,0,0,18,1.7101449275362319,0.00000000000000000000
36,68,105,0,0,12,1.5441176470588235,0.00000000000000000000
37,57,116,0,1,9,2.0350877192982456,2.7027027027027027
38,54,86,0,0,8,1.5925925925925926,0.00000000000000000000
39,45,112,0,1,11,2.4888888888888889,2.5641025641025641
40,54,77,0,0,12,1.4259259259259259,0.00000000000000000000
41,40,79,0,0.5,12,1.9750000000000000,1.2195121951219512
42,38,59,0,1,8,1.5526315789473684,2.3809523809523810
43,41,85,0,1,13,2.0731707317073171,2.3255813953488372
44,50,47,0,0,7,0.94000000000000000000,0.00000000000000000000
45,57,122,0,1,12,2.1403508771929825,2.2222222222222222
46,51,80,0,1,11,1.5686274509803922,2.1739130434782609
47,37,60,0,1,13,1.6216216216216216,2.1276595744680851
48,36,88,0,1,12,2.4444444444444444,2.0833333333333333
49,49,92,0,1,15,1.8775510204081633,2.0408163265306122
50,44,80,0,1,11,1.8181818181818182,2.0000000000000000
51,24,46,0,1,11,1.9166666666666667,1.9607843137254902
52,31,72,0,1,9,2.3225806451612903,1.9230769230769231
53,29,60,0,1,12,2.0689655172413793,1.8867924528301887
54,35,93,0,1,16,2.6571428571428571,1.8518518518518519
55,27,56,0,2,9,2.0740740740740741,3.6363636363636364
56,25,49,0,1,13,1.9600000000000000,1.7857142857142857
57,27,59,0,1,10,2.1851851851851852,1.7543859649122807
58,23,58,0,1,10,2.5217391304347826,1.7241379310344828
59,27,45,0,1,9,1.6666666666666667,1.6949152542372881
60,25,87,0,1,15,3.4800000000000000,1.6666666666666667
61,17,14,0,0,4,0.82352941176470588235,0.00000000000000000000
62,21,49,0,0,25,2.3333333333333333,0.00000000000000000000
63,16,55,0,1,15,3.4375000000000000,1.5873015873015873
64,28,105,0,1.5,19,3.7500000000000000,2.3437500000000000
65,20,74,0,2,15,3.7000000000000000,3.0769230769230769
66,18,72,0,1,24,4.0000000000000000,1.5151515151515152
67,25,65,0,1,16,2.6000000000000000,1.4925373134328358
68,20,62,0,2,14,3.1000000000000000,2.9411764705882353
69,18,57,0,2,11,3.1666666666666667,2.8985507246376812
